a,b,lambda1,lambda2,lambda3,lambda4
0.500, 0.220, 330.98787266370397, 528.20506515184468, 710.23003211659, 920.69651143370743
0.500, 0.225, 319.09995783540592, 512.10760122117972, 690.4166636933162, 897.47941970635407
0.500, 0.230, 307.93385294745678, 496.93525406546655, 671.67724623639106, 875.49670438983173
0.500, 0.235, 297.43082538544309, 482.61533746363949, 653.92781191744018, 854.65427381735071
0.500, 0.240, 287.53811930696645, 469.08232083554327, 637.0925349959814, 834.86704963738293
0.500, 0.245, 278.20812785705959, 456.27697223481852, 621.10264291041642, 816.05788432351881
0.500, 0.250, 269.3978818328398, 444.14564873838077, 605.89572961651163, 798.15671057427176
0.500, 0.255, 261.06845655680337, 432.63966526924389, 591.41496386793312, 781.09973192097868
0.500, 0.260, 253.18456292450389, 421.71474535096547, 577.60854572075834, 764.82877478852174
0.500, 0.265, 245.71411947336566, 411.33054858606698, 564.42912219114271, 749.29066435609229
0.500, 0.270, 238.6279138208526, 401.45025117982647, 551.83334048536074, 734.43672538511737
0.500, 0.275, 231.89930108957086, 392.04017936899555, 539.78143584600593, 720.22231522872107
0.500, 0.280, 225.50393163779583, 383.06948731774793, 528.23686480639196, 706.60642027531105
0.500, 0.285, 219.41951972467189, 374.50987688333629, 517.16600250389797, 693.55131684903495
0.500, 0.290, 213.62563265220916, 366.33533848635625, 506.53784311774376, 681.0222292727002
0.500, 0.295, 208.10351052648821, 358.5219400592452, 496.32376508072764, 668.98706384831939
0.500, 0.300, 202.83589640031315, 351.04761539953694, 486.49730788680159, 657.41616995659774
0.550, 0.025, 17515.57838919777, 19876.3662993135, 21688.463962052461, 23434.079992089246
0.550, 0.030, 12331.036882986617, 14212.209845761625, 15672.827988405943, 17089.852800014003
0.550, 0.035, 9178.1677997292445, 10733.225198477396, 11953.506943128928, 13145.208420420111
0.550, 0.040, 7115.2807172213006, 8435.6874659110308, 9482.1272058608083, 10510.425941124124
0.550, 0.045, 5690.0705231075017, 6834.3769089241687, 7749.6999889812914, 8654.4660094647734
0.550, 0.050, 4663.0972645253623, 5670.8655421902949, 6484.0461114791233, 7292.3690346925368
0.550, 0.055, 3897.8492642975757, 4796.9709063686932, 5528.5025069512321, 6259.5792716601663
0.550, 0.060, 3311.8169324569785, 4122.6348569384254, 4787.5135306842922, 5455.4154614484332
0.550, 0.065, 2852.7108649006345, 3590.4834447162903, 4199.9923215718118, 4815.3240355292492
0.550, 0.070, 2486.0678473903204, 3162.5138215325746, 3725.3420387470696, 4296.2841239094678
0.550, 0.075, 2188.4176988642116, 2812.7156996870781, 3335.6891976754923, 3868.6773768193798
0.550, 0.080, 1943.3169620464339, 2522.7823858387178, 3011.3546655135574, 3511.5390736861241
0.550, 0.085, 1738.9662128469859, 2279.5150248107047, 2738.1087044797587, 3209.6713841635378
0.550, 0.090, 1566.7142889260469, 2073.1948802112588, 2505.4427148895161, 2951.8240300069333
0.550, 0.095, 1420.1006686437556, 1896.5323024450754, 2305.4528069115877, 2729.515409135382
0.550, 0.100, 1294.2201828675913, 1743.9690626940162, 2132.0960517281433, 2536.2461008510982
0.550, 0.105, 1185.2926000445536, 1611.2045786271292, 1980.6842853532628, 2366.9629310737091
0.550, 0.110, 1090.3671471787634, 1494.8673295967101, 1847.53305390677, 2217.6857490255034
0.550, 0.115, 1007.1106643819819, 1392.2824277690186, 1729.7112946722962, 2085.2420718960402
0.550, 0.120, 933.66005711428613, 1301.3047636441536, 1624.8630304660451, 1967.0764565349305
0.550, 0.125, 868.51182377687223, 1220.1970091670985, 1531.0754404750344, 1861.110133123919
0.550, 0.130, 810.44193788393545, 1147.5393990726382, 1446.7817216534895, 1765.6369994734428
0.550, 0.135, 758.4452008590431, 1082.1620008995026, 1370.6876943534671, 1679.2452479588642
0.550, 0.140, 711.69000527634785, 1023.0934045010231, 1301.7163831577318, 1600.7577983643014
0.550, 0.145, 669.48341796925217, 969.52128873027254, 1238.965178872468, 1529.1863523462373
0.550, 0.150, 631.2441281213172, 920.76192228739842, 1181.6726770284192, 1463.6957262280757
0.550, 0.155, 596.48151757754556, 876.23629020982628, 1129.1926753617518, 1403.5758672845768
0.550, 0.160, 564.77908379779831, 835.45123291661184, 1080.9735974404985, 1348.2196344883819
0.550, 0.165, 535.78139287027079, 797.98451106858477, 1036.5421956369178, 1297.1051847997014
0.550, 0.170, 509.18357865419051, 763.47278924379611, 995.49038360114582, 1249.7817367284786
0.550, 0.175, 484.72286788624075, 731.60195433323531, 957.4645999482492, 1205.8580872298689
0.550, 0.180, 462.17187287819218, 702.09925579076844, 922.15723626753311, 1164.9931875943473
0.550, 0.185, 441.33285348215009, 674.72687061362194, 889.29947269452884, 1126.888488979502
0.550, 0.190, 422.03321921119419, 649.27661485851604, 858.65550130242207, 1091.2815874753878
0.550, 0.195, 404.12185300553853, 625.56558599345499, 830.0177376655422, 1057.940942090667
0.550, 0.200, 387.46589909395806, 603.43252815201754, 803.20277334148034, 1026.6614966464329
0.550, 0.205, 371.94815928676917, 582.73478926307075, 778.04801243211818, 997.26095589947329
0.550, 0.210, 357.46491883458452, 563.34578250182051, 754.40884228491996, 969.57665989784562
0.550, 0.215, 343.92413820998428, 545.15284170023222, 732.15628089129882, 943.4629373700958
0.550, 0.220, 331.24389238480774, 528.05540023750575, 711.17493773993522, 918.7887995751372
0.550, 0.225, 319.35105057052084, 511.96344972740735, 691.36128958507004, 895.43595045141171
0.550, 0.230, 308.18018390258106, 496.79621999638528, 672.62223901869243, 873.29706072633678
0.550, 0.235, 297.67259268641629, 482.48106200985654, 654.8738335599603, 852.27418016809975
0.550, 0.240, 287.7754135754808, 468.95245696360803, 638.04010753628461, 832.27723759700689
0.550, 0.245, 278.44112458923723, 456.15119824154323, 622.05235532098357, 813.22279274980406
0.550, 0.250, 269.62670758746174, 444.02366630835024, 606.84809057876009, 795.03249847047869
0.550, 0.255, 261.29324595532563, 432.52119199006745, 592.37046915718179, 777.63172307966795
0.550, 0.260, 253.40543298054286, 421.59951496105322, 578.56764197884672, 760.94787192554554
0.550, 0.265, 245.93118280298043, 411.21831238776031, 565.39222444187021, 744.90848310287515
0.550, 0.270, 238.84127783885626, 401.34077287519023, 552.80082472306003, 729.43891836723412
0.550, 0.275, 232.10906780916648, 391.93323759474413, 540.75364110992257, 714.45980069012444
0.550, 0.280, 225.71019677268885, 382.9648727409525, 529.2140852000656, 699.88451748460602
0.550, 0.285, 219.62237368522534, 374.40739097260644, 518.14848548570546, 685.61835888869291
0.550, 0.290, 213.82516301104997, 366.23479387129299, 507.52579087752451, 671.56220372097869
0.550, 0.295, 208.29979762947642, 358.42315797235705, 497.31732122976638, 657.62509131798288
0.550, 0.300, 203.0290254207577, 350.95042943803918, 487.49657500701943, 643.74665027446895
0.600, 0.025, 17522.269525445899, 19864.858283095378, 21703.641542031281, 23420.816365875795
0.600, 0.030, 12336.449585992383, 14203.234337887034, 15685.005315076098, 17079.419516928894
0.600, 0.035, 9182.7094400575861, 10725.964729258078, 11963.657920079562, 13136.688260019586
0.600, 0.040, 7119.1941726142786, 8429.6554229134199, 9490.8292568013621, 10503.270377131901
0.600, 0.045, 5693.5113473273759, 6829.2633388760005, 7757.3232998346766, 8648.3260223298676
0.600, 0.050, 4666.1702149085395, 5666.4612863168977, 6490.8392095430772, 7287.0075921816451
0.600, 0.055, 3900.6297692081175, 4793.1291266695043, 5534.641319388732, 6254.8301222233995
0.600, 0.060, 3314.3586253296294, 4119.2484163476665, 4793.1253771211532, 5451.156233560414
0.600, 0.065, 2855.0541233049689, 3587.4724516584474, 4205.1727176824561, 4811.4632512923417
0.600, 0.070, 2488.2442887381744, 3159.8168037887249, 3730.1643345231109, 4292.7506836086432
0.600, 0.075, 2190.4516578346984, 2810.2846270183309, 3340.2105467966844, 3865.4153306019784
0.600, 0.080, 1945.2276918861699, 2520.5790040689199, 3015.6208147441498, 3508.5032512267553
0.600, 0.085, 1740.7696451268116, 2277.5084861865312, 2742.1563758856, 3206.8248648678455
0.600, 0.090, 1568.4232499451375, 2071.3598738928404, 2509.302068291905, 2949.135974302284
0.600, 0.095, 1421.7259934832871, 1894.8478968662932, 2309.1488764731971, 2726.9598008358184
0.600, 0.100, 1295.7707493321684, 1742.4177126234447, 2135.649724592482, 2533.8005172861203
0.600, 0.105, 1186.7762079071517, 1609.7714665029557, 1984.1133682891232, 2364.6078408393259
0.600, 0.110, 1091.7897685599721, 1493.5397941161316, 1850.8524117137445, 2215.4037553983667
0.600, 0.115, 1008.4780923153954, 1391.0496215224343, 1732.9340303992799, 2083.0176827379582
0.600, 0.120, 934.97707313004969, 1300.157288769188, 1628.0003890917853, 1964.8954987026523
0.600, 0.125, 869.78258714148319, 1219.1266857824191, 1534.1372452712683, 1858.9594964209155
0.600, 0.130, 811.66995806375735, 1146.5390379086218, 1449.7765293854845, 1763.5043429908637
0.600, 0.135, 759.63380907868532, 1081.2253062874322, 1373.6231707019299, 1677.1189396064644
0.600, 0.140, 712.84198383017088, 1022.214780329916, 1304.5992939198811, 1598.6264962968448
0.600, 0.145, 670.6012367850816, 968.69576246092913, 1241.8015891212815, 1527.0389944303527
0.600, 0.150, 632.33016024168148, 919.98506459982809, 1184.4680636923536, 1461.5213799154003
0.600, 0.155, 597.53751787016552, 875.50407304820317, 1131.9518893489146, 1401.3633476228313
0.600, 0.160, 565.80695542066542, 834.76008550572146, 1083.7011461927382, 1345.9577322970513
0.600, 0.165, 536.78276231556003, 797.33118956751525, 1039.2421727598824, 1294.782294346059
0.600, 0.170, 510.15989632147983, 762.85435166819877, 998.16653243427379, 1247.3857563324591
0.600, 0.175, 485.67547817134971, 731.01572097207168, 960.12038269525078, 1203.3762510263452
0.600, 0.180, 463.10197623914456, 701.54279471292932, 924.79585553950176, 1162.411973717642
0.600, 0.185, 442.24149431761441, 674.1979375810796, 891.92387891279975, 1124.1933334413777
0.600, 0.190, 422.92142920322391, 648.77316069381368, 861.26848132849784, 1088.4567623887208
0.600, 0.195, 404.99057727632783, 625.08573353066208, 832.62191581592151, 1054.9693494373307
0.600, 0.200, 388.31597650727775, 602.97453976693953, 805.80059734009217, 1023.5243695757089
0.600, 0.205, 372.78036736284031, 582.2970641425776, 780.64179706173013, 993.93761551723003
0.600, 0.210, 358.2799832058804, 562.92683831586191, 757.00078362500813, 966.0441806471772
0.600, 0.215, 344.7227309434744, 544.7513047496933, 734.74846588853313, 939.69580677419629
0.600, 0.220, 332.02663248661514, 527.66999463838215, 713.76934947484779, 914.7585147602648
0.600, 0.225, 320.1185234543558, 511.59298919820657, 693.95982870088778, 891.11061258450991
0.600, 0.230, 308.93292275794289, 496.43959891479739, 675.22670807343104, 868.64090318050739
0.600, 0.235, 298.41108055927634, 482.13724793838389, 657.48593891037297, 847.24714186866481
0.600, 0.240, 288.50016864605021, 468.6204854302369, 640.66154389372139, 826.83465330299282
0.600, 0.245, 279.152569306776, 455.83017035105814, 624.68467879671243, 807.31513253431706
0.600, 0.250, 270.32525866420809, 443.71273390247228, 609.49280076345588, 788.60559903422541
0.600, 0.255, 261.97929394953132, 432.21956101071447, 595.02898962674658, 770.62760069674971
0.600, 0.260, 254.07934954630736, 421.30644325117805, 581.24131655651559, 753.30668446003881
0.600, 0.265, 246.59331701277091, 410.93309800107789, 568.08231304945889, 736.57224615768723
0.600, 0.270, 239.49196241134908, 401.06275771051548, 555.50850045139816, 720.35796428121648
0.600, 0.275, 232.7486150726748, 391.66179936300887, 543.47997308392007, 704.60282946761492
0.600, 0.280, 226.33890586815352, 382.6994266430022, 531.96004630832419, 689.25295294619991
0.600, 0.285, 220.24052862945231, 374.14738227901779, 520.91492652342879, 674.26382244631964
0.600, 0.290, 214.43303315632966, 365.97969996713385, 510.31343617390411, 659.60263794182276
0.600, 0.295, 208.89764286074171, 358.17248539628019, 500.12675973814021, 645.24989760045219
0.600, 0.300, 203.61708884573272, 350.70370689402176, 490.32823226998408, 631.19944780450021
0.650, 0.025, 17533.880416292755, 19848.110770872776, 21719.770773213517, 23416.333819102594
0.650, 0.030, 12345.848001923023, 14190.218067575914, 15698.052759952261, 17076.07741496
0.650, 0.035, 9190.599996316796, 10715.472950853504, 11974.627470715723, 13134.111475971593
0.650, 0.040, 7125.9959597541783, 8420.9709764931176, 9500.3159531739147, 10501.235872255498
0.650, 0.045, 5699.4955026668067, 6821.9301549445472, 7765.7094375504557, 8646.6931946806162
0.650, 0.050, 4671.517970667297, 5660.1712353967696, 6498.3812603509605, 7285.6798508490356
0.650, 0.055, 3905.4696801440959, 4787.6657563325398, 5541.519879249704, 6253.7393355559416
0.650, 0.060, 3318.7850964363465, 4114.4543075748807, 4799.4719195080706, 5450.2525330582976
0.650, 0.065, 2859.1359695580832, 3583.2293272978823, 4211.0853910082596, 4810.7080707167652
0.650, 0.070, 2492.0363328427011, 3156.0343323315255, 3735.7185034839299, 4292.1144439077007
0.650, 0.075, 2193.9957182527355, 2806.8920370882943, 3345.4650533899949, 3864.8741631220319
0.650, 0.080, 1948.5583555912453, 2517.5200578970962, 3020.6226558611879, 3508.0378195928174
0.650, 0.085, 1743.9137858894908, 2274.7376566585726, 2746.943205435532, 3206.4186696707857
0.650, 0.090, 1571.4031904747012, 2068.8398894683028, 2513.9049459107664, 2948.7750517942941
0.650, 0.095, 1424.5602128399958, 1892.5478483363381, 2313.5933635634096, 2726.6317896212954
0.650, 0.100, 1298.4747383252802, 1740.3117431633807, 2139.9572832846657, 2533.4944808657256
0.650, 0.105, 1189.3630769466899, 1607.837719598697, 1988.3021556189053, 2364.3138637673842
0.650, 0.110, 1094.2706201518947, 1491.7596046093381, 1854.9379058137024, 2215.1125887603534
0.650, 0.115, 1010.8625106399338, 1389.4069541929955, 1736.9295402362798, 2082.7206306017888
0.650, 0.120, 937.27331483495391, 1298.6382908933647, 1631.9174907045649, 1964.584274080541
0.650, 0.125, 871.99779686234194, 1217.7192527668424, 1537.9860536431752, 1858.6259457943374
0.650, 0.130, 813.81060345081255, 1145.2326325028155, 1453.5659559348178, 1763.1405626893566
0.650, 0.135, 761.70521441337121, 1080.0105599840424, 1377.3610734938372, 1676.7167682471638
0.650, 0.140, 714.84909343150525, 1021.0834300487139, 1308.292722276203, 1598.177813430568
0.650, 0.145, 672.54843448285772, 967.64046445777092, 1245.4568764038499, 1526.5354422205778
0.650, 0.150, 634.22115440778646, 918.99923162308778, 1188.0908936834867, 1460.9541964611667
0.650, 0.155, 599.37597704501184, 874.58184279213879, 1135.5475279649047, 1400.7235514624954
0.650, 0.160, 567.59589759533515, 833.89613288906207, 1087.2743392542434, 1345.23567927525
0.650, 0.165, 538.52499997271434, 796.52072260568957, 1042.797311860583, 1293.9678092066388
0.650, 0.170, 511.85796958286977, 762.09302769392752, 1001.7077027340829, 1246.4679747800642
0.650, 0.175, 487.33164844730953, 730.29957789961554, 963.65138225483179, 1202.3434435480979
0.650, 0.180, 464.71830529895078, 700.86821211760241, 928.32023673494962, 1161.2514843862036
0.650, 0.185, 443.81993254389351, 673.56162354126434, 895.44502115387434, 1122.8914967244846
0.650, 0.190, 424.46375271938427, 648.17210188697311, 864.78960568961895, 1086.9987513300423
0.650, 0.195, 406.49838013213235, 624.51714859957258, 836.14606313276386, 1053.3389737411408
0.650, 0.200, 389.79074264656452, 602.43587250558357, 809.33069900152884, 1021.7039975386425
0.650, 0.205, 374.22346529999999, 581.78595517579993, 784.18067475604289, 991.90802360175269
0.650, 0.210, 359.69268149715759, 562.4411071751, 760.55117290642784, 963.78443876265499
0.650, 0.215, 346.10620400738497, 544.28893378492944, 738.31302561261361, 937.18317649563028
0.650, 0.220, 333.38197353278053, 527.22910958105444, 717.35066985535548, 911.96841056634639
0.650, 0.225, 321.44675173762505, 511.1718497258928, 697.56044388604721, 888.01663890943394
0.650, 0.230, 310.23498761185192, 496.03658908788532, 678.84910264613734, 865.215025480848
0.650, 0.235, 299.68787649150244, 481.75085658294461, 661.13255818969537, 843.46004129771541
0.650, 0.240, 289.75253103153034, 468.24930792339632, 644.33478975206253, 822.65635099974463
0.650, 0.245, 280.38128341589771, 455.47289267933536, 628.38690987226403, 802.71598707242208
0.650, 0.250, 271.53106238713298, 443.36812559726394, 613.22634055643243, 783.55774855670848
0.650, 0.255, 263.16288529331507, 431.88647340849485, 598.79611877072443, 765.10701433076247
0.650, 0.260, 255.24138697207837, 420.98379651855259, 585.04426696045334, 747.29574449878362
0.650, 0.265, 247.73442641620571, 410.61988248226828, 571.92326499299395, 730.06287822679712
0.650, 0.270, 240.61273411556334, 400.75802236054238, 559.38957061749375, 713.35492641832445
0.650, 0.275, 233.84961159546413, 391.36465184207765, 547.40319971935241, 697.12668795131583
0.650, 0.280, 227.42066195170133, 382.40902828799273, 535.92737820911327, 681.34190914403234
0.650, 0.285, 221.30355294737726, 373.86294008565102, 524.92820442806067, 665.97353451962397
0.650, 0.290, 215.47781214433942, 365.70047165812156, 514.37436916935837, 651.00351724188272
0.650, 0.295, 209.92464101001377, 357.89776567562762, 504.23690308802088, 636.42188829685256
0.650, 0.300, 204.62674873884134, 350.43283568516864, 494.48895397787732, 622.22526831775679
0.700, 0.025, 17551.208504356087, 19829.282271521271, 21727.677684400976, 23428.276804208112
0.700, 0.030, 12359.887900264412, 14175.692420099696, 15704.727403862255, 17085.957825115991
0.700, 0.035, 9202.397699852916, 10703.856396014076, 11980.479443673663, 13142.596450573928
0.700, 0.040, 7136.1762319869094, 8411.4372197053399, 9505.5911441558655, 10508.72466015526
0.700, 0.045, 5708.4577691262612, 6813.9505526601224, 7770.5618174630417, 8653.4376951255308
0.700, 0.050, 4679.5337166059107, 5653.3907784819394, 6502.9154616023434, 7291.8516030441879
0.700, 0.055, 3912.7277159701985, 4781.8337975888189, 5545.8089421613986, 6259.4572339416982
0.700, 0.060, 3325.4260852436328, 4109.3894648608248, 4803.5689206824518, 5455.6039969004123
0.700, 0.065, 2865.2644289519994, 3578.7954041222324, 4215.0298513902699, 4815.7576719902399
0.700, 0.070, 2497.7317303954842, 3152.126703221707, 3739.5405869266369, 4296.9111140427112
0.700, 0.075, 2199.3212641252676, 2803.4291936719751, 3349.1882529257327, 3869.4559635584283
0.700, 0.080, 1953.5640514894067, 2514.4369199959829, 3024.2655181697733, 3512.4343894353196
0.700, 0.085, 1748.6399359877521, 2271.9816505196682, 2750.5207173279136, 3210.6535524921774
0.700, 0.090, 1575.8830994761452, 2066.3679841599405, 2517.4292674266767, 2952.8670619751024
0.700, 0.095, 1428.8217618261472, 1890.3245235469317, 2317.0745544634419, 2730.5960802042027
0.700, 0.100, 1302.5401117916495, 1738.3067816258288, 2143.4037882846956, 2537.3429891438104
0.700, 0.105, 1193.2520886243906, 1606.0259791497522, 1991.7210350285191, 2368.0563295111078
0.700, 0.110, 1097.9998154571158, 1490.1195127614801, 1858.3352389545296, 2218.7567125320188
0.700, 0.115, 1014.4461485282668, 1387.9199955279171, 1740.3105741258473, 2086.2724992476387
0.700, 0.120, 940.72353721825402, 1297.2883337792643, 1635.2867661631813, 1968.0483914144713
0.700, 0.125, 875.32561924578931, 1216.4924478398289, 1541.3475889663503, 1862.0058133579721
0.700, 0.130, 817.02497053255547, 1144.1165600860518, 1456.9233356753664, 1766.4382548380047
0.700, 0.135, 764.81455733867472, 1078.9944909683973, 1380.7175210754078, 1679.9336321821138
0.700, 0.140, 717.86077358081411, 1020.1578241605696, 1311.6511708007449, 1601.3142029336934
0.700, 0.145, 675.46868474828591, 966.79672840008436, 1248.8200427385127, 1529.5907002006918
0.700, 0.150, 637.05582903275354, 918.22979007217532, 1191.4612851324066, 1463.9269440844694
0.700, 0.155, 602.13026265622477, 873.87987412504935, 1138.9275140811601, 1403.6115299579233
0.700, 0.160, 570.27443485388312, 833.25549703564081, 1090.6661717299401, 1348.0357616309468
0.700, 0.165, 541.13198174914487, 795.93588050543894, 1046.203163500697, 1296.6760023909762
0.700, 0.170, 514.39714220875339, 761.5589286065624, 1005.1296580768568, 1249.0792780002323
0.700, 0.175, 489.80651102566935, 729.81167135691169, 967.09152719257258, 1204.8520273071088
0.700, 0.180, 467.13200155254634, 700.42233386130067, 931.78059508654053, 1163.6503782744398
0.700, 0.185, 446.17536081855559, 673.1539842348526, 898.92763923971052, 1125.1726538519131
0.700, 0.190, 426.76354850261697, 647.79922447074046, 868.29651958351599, 1089.1528855142017
0.700, 0.195, 408.74497836622595, 624.17584581521567, 839.67932999051754, 1055.3554831650624
0.700, 0.200, 391.98639252604733, 602.12321913117603, 812.89241065465455, 1023.5708696992986
0.700, 0.205, 376.37024869535674, 581.49925585755761, 787.77296167903819, 993.61171274471917
0.700, 0.210, 361.79252458118941, 562.17787725875758, 764.17621693014041, 965.3097641484768
0.700, 0.215, 348.16090451348498, 544.04688023034419, 741.97306771896615, 938.51327056185664
0.700, 0.220, 335.39320787651843, 527.00611258165918, 721.04801879814772, 913.08466835371746
0.700, 0.225, 323.41607796587317, 510.9659444039869, 701.29747839767174, 888.89875134352462
0.700, 0.230, 312.16387500315022, 495.84595705295294, 682.62828065658846, 865.84114311213125
0.700, 0.235, 301.577699317042, 481.57380854037478, 664.95641794982987, 843.80704373249591
0.700, 0.240, 291.60458088301755, 468.08427399537658, 648.20596203855075, 822.70035614773531
0.700, 0.245, 282.19677477797381, 455.318412435656, 632.30811581338446, 802.43308050539179
0.700, 0.250, 273.31114782817406, 443.22284158977197, 617.2003858101674, 782.92501701214428
0.700, 0.255, 264.90865206545396, 431.7491193149649, 602.82590790172458, 764.1038594311301
0.700, 0.260, 256.95386524793594, 420.85319402603517, 589.13279409620043, 745.90541529932193
0.700, 0.265, 249.41459290991571, 410.49493097653561, 576.07360784960963, 728.27409682769485
0.700, 0.270, 242.2615166180484, 400.6376927036506, 563.604888823902, 711.16336777521701
0.700, 0.275, 235.46789446868968, 391.24798410706057, 551.68672826873353, 694.53604961926544
0.700, 0.280, 229.00928771061052, 382.29512381028297, 540.28240952916224, 678.36423088146023
0.700, 0.285, 222.86332567401541, 373.75096034987507, 529.35807786849261, 662.62867448563247
0.700, 0.290, 217.00950052297111, 365.58962949268727, 518.88244605202863, 647.31772771736962
0.700, 0.295, 211.4289792403043, 357.78732452953403, 508.82654134375139, 632.42574999463739
0.700, 0.300, 206.10444477067358, 350.32210487099337, 499.16348753931607, 617.95138685601012
0.750, 0.025, 17575.64397777191, 19812.232413099668, 21722.367513002868, 23447.648576104071
0.750, 0.030, 12379.715790229371, 14162.780661815208, 15701.120415449515, 17102.007395482084
0.750, 0.035, 9219.083155212802, 10693.737277438519, 11978.042648100429, 13156.418700047558
0.750, 0.040, 7150.5931807112556, 8403.3111660731356, 9504.0032573727349, 10520.965684757904
0.750, 0.045, 5721.1643340518667, 6807.3079208519148, 7769.6182151383036, 8664.5115528536207
0.750, 0.050, 4690.9084808370617, 5647.8889864564781, 6502.4773284267758, 7302.0362041319859
0.750, 0.055, 3923.0387044513886, 4777.2322589875321, 5545.7782846251966, 6268.9488792171542
0.750, 0.060, 3334.8663068663377, 4105.5123021734589, 4803.8736205712976, 5464.5436664178487
0.750, 0.065, 2873.9808222188431, 3575.5117737234209, 4215.6157431173478, 4824.2513675428627
0.750, 0.070, 2505.8367723329252, 3149.3361983334894, 3740.3659008298641, 4305.0397885851398
0.750, 0.075, 2206.9025274205555, 2801.0529823468464, 3350.2198992327303, 3877.2823115587707
0.750, 0.080, 1960.6917736179928, 2512.41248480587, 3025.4771100610797, 3520.0083731258101
0.750, 0.085, 1755.3707476781867, 2270.2583437052112, 2751.8906646169748, 3218.0150810030245
0.750, 0.090, 1582.2634333976616, 2064.9043111065225, 2518.9397861237412, 2960.0487008975419
0.750, 0.095, 1434.8896641568656, 1889.0859106804971, 2318.7108423046284, 2737.6244878327207
0.750, 0.100, 1308.3285049731285, 1737.2646494075436, 2145.1532801211329, 2544.240542021686
0.750, 0.105, 1198.7879358946352, 1605.1558455819641, 1993.5731485631261, 2374.8415812233593
0.750, 0.110, 1103.3061920596856, 1489.4004822703585, 1860.2809137069605, 2225.4454648732867
0.750, 0.115, 1019.5433287477957, 1387.3343882587014, 1742.3420371879881, 2092.8781229418682
